variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
onnx,europe_v3,all,family,58640,0.805164255187583,0.25025960445781553,0.805164255187583,0.2540572988243291,0.9254774897680764,0.838470274037207,1.0
onnx,europe_v3,known,species,50598,0.710576177587575,0.21632075786236368,0.710576177587575,0.2034558161613722,0.7974228230364837,0.9361375391213514,1.0
onnx,europe_v3,known,genus,58640,0.7908120470589387,0.2560315293300679,0.7908120470589387,0.2529767781457853,0.7779672578444747,0.9297404742905871,1.0
onnx,europe_v3,known,family,58640,0.805164255187583,0.25025960445781553,0.805164255187583,0.2540572988243291,0.9254774897680764,0.838470274037207,1.0
torch-tta,north_europe,all,species,58640,0.7394942213066358,0.3045154257441182,0.7394942213066358,0.29354423320755,0.7318724420190996,0.9406189646961585,1.0
torch-tta,north_europe,all,genus,58640,0.8303908427754559,0.3505904633143813,0.8303908427754559,0.353208999336762,0.8158594815825375,0.9419385064155936,1.0
torch-tta,north_europe,all,family,58640,0.857176291043506,0.2854195568227899,0.857176291043506,0.2967297720520215,0.9476637107776262,0.8801009206026382,1.0
torch-tta,north_europe,known,species,50598,0.7628774377906401,0.31130376488612155,0.7628774377906401,0.30320298151377173,0.8481955808529982,0.9430153185488799,1.0
torch-tta,north_europe,known,genus,58639,0.8329777301361272,0.3506444171806519,0.8329777301361272,0.353759732820872,0.8158733948396119,0.9419514702058922,1.0
torch-tta,north_europe,known,family,58640,0.857176291043506,0.2854195568227899,0.857176291043506,0.2967297720520215,0.9476637107776262,0.8801009206026382,1.0
torch-tta,europe,all,species,58640,0.718077691416366,0.2429470820689653,0.718077691416366,0.22757154948143235,0.7156548431105048,0.944413998137816,1.0
torch-tta,europe,all,genus,58640,0.8293085814992414,0.28385324239562887,0.8293085814992414,0.28200483380977825,0.804024556616644,0.9441314851902275,1.0
torch-tta,europe,all,family,58640,0.8563266688215283,0.2653959371196337,0.8563266688215283,0.27529463404409366,0.9472032742155525,0.87467980248827,1.0
torch-tta,europe,known,species,50598,0.7407837053741958,0.24775255855583658,0.7407837053741958,0.23384828180126666,0.829400371556188,0.9470276431963978,1.0
torch-tta,europe,known,genus,58640,0.8293085814992414,0.28385324239562887,0.8293085814992414,0.28200483380977825,0.804024556616644,0.9441314851902275,1.0
torch-tta,europe,known,family,58640,0.8563266688215283,0.2653959371196337,0.8563266688215283,0.27529463404409366,0.9472032742155525,0.87467980248827,1.0
torch-tta,full,all,species,58640,0.6173142553970794,0.13138339990786518,0.6173142553970794,0.11096250944892755,0.6262619372442019,0.9508870287194768,1.0
torch-tta,full,all,genus,58640,0.7510468819168783,0.15667958535770124,0.7510468819168783,0.14574565079611349,0.7451739427012278,0.9443425774705536,1.0
torch-tta,full,all,family,58640,0.8145939456784087,0.21261476235886365,0.8145939456784087,0.2183082373459294,0.9275068212824011,0.8448686499703433,1.0
torch-tta,full,known,species,50598,0.6368340737495563,0.13564757725358406,0.6368340737495563,0.11490466732444428,0.7257994387129926,0.9551144723608224,1.0
torch-tta,full,known,genus,58640,0.7510468819168783,0.15667958535770124,0.7510468819168783,0.14574565079611349,0.7451739427012278,0.9443425774705536,1.0
torch-tta,full,known,family,58640,0.8145939456784087,0.21261476235886365,0.8145939456784087,0.2183082373459294,0.9275068212824011,0.8448686499703433,1.0
torch-tta,north_europe_v3,all,species,58640,0.7309514872176466,0.2836262314662556,0.7309514872176466,0.2712624922442485,0.727575034106412,0.9419128470540503,1.0
torch-tta,north_europe_v3,all,genus,58640,0.8277669590594472,0.3334921424445981,0.8277669590594472,0.3337289068163522,0.8116132332878582,0.9427305687063423,1.0
torch-tta,north_europe_v3,all,family,58640,0.8346576161414683,0.27245649076352374,0.8346576161414683,0.27776074959879515,0.9469304229195089,0.8781254078254616,1.0
