model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
onnx-tta,optimized,species,20,per_model,5767,499411,483596,568939,0.9700372096129813,0.9453315110109051,0.9452038535954121,0.9181109692132279,0.9301645658053365
onnx-tta,optimized,species,20,common,5619,495885,480131,568939,0.9700372096129813,0.9466355110164897,0.947119470617321,0.9196145270414563,0.9319011751009653
v2,optimized,genus,-1,per_model,4476,568939,547692,568939,0.9626550473776626,0.9709681846201991,0.945956754906805,0.924476997515889,0.9315715620856552
torch,optimized,genus,-1,per_model,4476,568939,557792,568939,0.9804073898959291,0.9843532446734725,0.9768370043872598,0.9598662398316677,0.9670807734237682
onnx,optimized,genus,-1,per_model,4476,568939,557681,568939,0.9802122898939957,0.9843807286145065,0.9770218695519097,0.9596964890327477,0.9670747932811063
torch-tta,optimized,genus,-1,per_model,4476,568939,553424,568939,0.9727299411711976,0.9715101613252839,0.9625019705071297,0.9403692157002803,0.9493424432950821
onnx-tta,optimized,genus,-1,per_model,4476,568939,553316,568939,0.9725401141422895,0.9717039507950574,0.9627559769001354,0.9402188527993052,0.9493781942192143
v2,optimized,genus,5,per_model,4062,566924,545706,568939,0.9626550473776626,0.9730233189102614,0.9504203032640921,0.9299499941848702,0.9376102329360426
v2,optimized,genus,5,common,4042,566796,545570,568939,0.9626550473776626,0.9734046694197016,0.9512441119322542,0.9305841568761081,0.9383497485198514
torch,optimized,genus,5,per_model,4091,567116,556011,568939,0.9804073898959291,0.9850364631575421,0.9789962410446256,0.9626984563003262,0.9700444306631667
torch,optimized,genus,5,common,4042,566796,555695,568939,0.9804073898959291,0.9852486590471086,0.9794558453427681,0.9630513085239086,0.9704594874167481
onnx,optimized,genus,5,per_model,4091,567116,555902,568939,0.9802122898939957,0.9850665335853271,0.9790844321495648,0.9625127304201095,0.9699928799169721
onnx,optimized,genus,5,common,4042,566796,555586,568939,0.9802122898939957,0.9852790940100151,0.9795451055630318,0.9628633311424227,0.9704073117357285
torch-tta,optimized,genus,5,per_model,4087,567091,551619,568939,0.9727299411711976,0.9739612141159694,0.9654057218177811,0.9441101844287167,0.9533108456199497
torch-tta,optimized,genus,5,common,4042,566796,551321,568939,0.9727299411711976,0.9741322556482092,0.9663131588925964,0.944725691696706,0.9541105972556507
onnx-tta,optimized,genus,5,per_model,4087,567091,551512,568939,0.9725401141422895,0.9741122788741553,0.9656716705858495,0.9440066795731344,0.9533858183708201
onnx-tta,optimized,genus,5,common,4042,566796,551215,568939,0.9725401141422895,0.9743203454081207,0.9665903152380758,0.9446519597954779,0.9542041917775816
v2,optimized,genus,10,per_model,3422,561652,540352,568939,0.9626550473776626,0.9734800560246962,0.9565101129613048,0.9320816173013914,0.9423840637091992
v2,optimized,genus,10,common,3399,561375,540016,568939,0.9626550473776626,0.9739032617284332,0.9574089837386313,0.9326845149652051,0.943205268402783
torch,optimized,genus,10,per_model,3450,561991,550937,568939,0.9804073898959291,0.9853176604244238,0.9808685545250592,0.9634766998535845,0.9716169229580529
torch,optimized,genus,10,common,3399,561375,550339,568939,0.9804073898959291,0.9855862214845251,0.9812407816841605,0.9640623745508275,0.9721216914659299
onnx,optimized,genus,10,per_model,3450,561991,550832,568939,0.9802122898939957,0.9853671204730292,0.9809384610579636,0.9632926985272173,0.9715536681027205
onnx,optimized,genus,10,common,3399,561375,550234,568939,0.9802122898939957,0.9856364236521301,0.9813117371235606,0.9638756123925556,0.9720574875086198
