model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
torch,optimized,genus,10,per_model,203,47662,36218,52788,0.7575395923315905,0.9725044668174535,0.973428506176096,0.7475181869995279,0.8320199105759429
torch,optimized,genus,10,common,192,46467,35691,52788,0.7575395923315905,0.9735479156470631,0.9733069820326449,0.7535836525103417,0.83644361028291
onnx,optimized,genus,10,per_model,202,47651,36048,52788,0.7536561339698417,0.973280111509321,0.9750664954245438,0.7440944617898129,0.8301947627142044
onnx,optimized,genus,10,common,192,46467,35536,52788,0.7536561339698417,0.9741721892441434,0.9742219352236319,0.7503899701812965,0.8344922648164951
torch-tta,optimized,genus,10,per_model,205,47702,37268,52788,0.7772978707281958,0.9770381133367219,0.9784954355713805,0.7643769766620188,0.8460362463804566
torch-tta,optimized,genus,10,common,192,46467,36672,52788,0.7772978707281958,0.9775836137284416,0.9789300486595732,0.7732961033321674,0.8523256131620105
onnx-tta,optimized,genus,10,per_model,205,47702,37255,52788,0.7768621656437069,0.9773702801133233,0.9785252947342102,0.7646418740921664,0.8462515189804946
onnx-tta,optimized,genus,10,common,192,46467,36660,52788,0.7768621656437069,0.9776077796766862,0.978961929536553,0.7735522735935464,0.8525123269701549
v2,optimized,genus,20,per_model,156,45483,33405,52788,0.6981321512464954,0.9843358498587619,0.9748388332981802,0.7242019498914946,0.8169005762983503
v2,optimized,genus,20,common,151,45179,33263,52788,0.6981321512464954,0.9840178517103966,0.9779005369081346,0.7276296542386876,0.8215085827272921
torch,optimized,genus,20,per_model,165,46690,35635,52788,0.7575395923315905,0.9810178296102066,0.9757921370967002,0.7571265698443955,0.841932335046979
torch,optimized,genus,20,common,151,45179,34973,52788,0.7575395923315905,0.9859159179291114,0.9756538685518954,0.7718614744316848,0.8533020792538338
onnx,optimized,genus,20,per_model,165,46690,35481,52788,0.7536561339698417,0.9817692866417445,0.9765223194080256,0.7541904615905834,0.8401795246684534
onnx,optimized,genus,20,common,151,45179,34825,52788,0.7536561339698417,0.9866161345901774,0.9761653514032596,0.768748272502419,0.8513772766242688
torch-tta,optimized,genus,20,per_model,167,46689,36692,52788,0.7772978707281958,0.9857897321742519,0.9793244688724696,0.7752481222536762,0.8561620153740219
torch-tta,optimized,genus,20,common,151,45179,35938,52788,0.7772978707281958,0.9886115750548432,0.9809062330056775,0.7925083520312406,0.8691592136815403
