environment_id,variant,device,trial,preset,batch_size,images_per_second,seconds,peak_host_rss_mib
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,north_europe,1,26.028760793685077,"[0.037499195197597146, 0.03831630595959723, 0.040990792913362384, 0.040651271818205714, 0.03841903991997242, 0.03850294603034854, 0.03840801282785833]",2511.6328125
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,full,8,35.421368387507336,"[0.23015617206692696, 0.22585237002931535, 0.23093353305011988, 0.22976073599420488, 0.22319298493675888, 0.22484666598029435, 0.22235849895514548]",2511.6328125
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,north_europe,8,35.33864022342065,"[0.23100770101882517, 0.22638109303079545, 0.22427077498286963, 0.2259297240525484, 0.2347594320308417, 0.22617309098131955, 0.23673859285190701]",2511.6328125
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,full,1,16.198527038428924,"[0.0780041329562664, 0.06189068499952555, 0.06168139888904989, 0.061740308068692684, 0.06173161510378122, 0.0617340081371367, 0.06163357710465789]",3156.78125
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,north_europe,1,16.39848742407414,"[0.05901055596768856, 0.061691835056990385, 0.06055515306070447, 0.060981234069913626, 0.06096916692331433, 0.061089548049494624, 0.06128282891586423]",3156.78125
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,full,8,27.642719112441718,"[0.2936432999558747, 0.2894071298651397, 0.27978958492167294, 0.29107873793691397, 0.2889334859792143, 0.3011715980246663, 0.27577853412367404]",3156.78125
j-12402286-job-0,torch,cpu,trial-1-torch-cpu,north_europe,8,32.034914488899396,"[0.25042425701394677, 0.24972752784378827, 0.24844128102995455, 0.25887357210740447, 0.2495469560381025, 0.2495462349615991, 0.25269569805823267]",3156.78125
j-12402286-job-0,v2,cpu,trial-1-v2-cpu,full,1,1.817772373081537,"[0.5532833931501955, 0.555746752070263, 0.5485153030604124, 0.5501238850411028, 0.5486917190719396, 0.545396656030789, 0.551491835154593]",4580.44921875
j-12402286-job-0,v2,cpu,trial-1-v2-cpu,north_europe,1,1.8455031230447507,"[0.5427428509574383, 0.5418576579540968, 0.539818748133257, 0.5418447989504784, 0.5432270499877632, 0.5479880489874631, 0.5392957900185138]",4580.44921875
j-12402286-job-0,v2,cpu,trial-1-v2-cpu,full,8,1.974068964640723,"[4.0525433220900595, 4.035881021991372, 4.061371466144919, 4.046101082116365, 4.062707477947697, 4.041825053049251, 4.059707231121138]",4580.44921875
j-12402286-job-0,v2,cpu,trial-1-v2-cpu,north_europe,8,1.9795949405909192,"[4.009429252007976, 4.046103483065963, 4.060272793984041, 4.080001945141703, 4.041230777045712, 3.979067053180188, 3.93344496213831]",4580.44921875
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,full,1,35.10418007739652,"[0.02980828401632607, 0.028706395998597145, 0.02852801699191332, 0.02844588295556605, 0.02846583304926753, 0.028482699068263173, 0.028486636001616716]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,north_europe,1,36.685243230182216,"[0.02692680712789297, 0.02726262202486396, 0.027258916990831494, 0.027281691087409854, 0.027256052009761333, 0.02738477708771825, 0.027240809984505177]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,full,8,109.5386863539322,"[0.07469335710629821, 0.07088668621145189, 0.07199720805510879, 0.07259518885985017, 0.07546746218577027, 0.07648908998817205, 0.07303355797193944]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,north_europe,8,111.41391264979623,"[0.07389426394365728, 0.08379421709105372, 0.06892463192343712, 0.06975421193055809, 0.06943008303642273, 0.07180431787855923, 0.07927897991612554]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,full,32,129.50510416208104,"[0.24829960195347667, 0.24574094987474382, 0.24102568090893328, 0.24115416500717402, 0.24709450802765787, 0.25395536608994007, 0.24713992583565414]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,north_europe,32,133.27963667415108,"[0.23764376994222403, 0.23839785484597087, 0.27552488818764687, 0.24364052806049585, 0.24009669292718172, 0.24040215299464762, 0.23919702880084515]",11622.4375
