model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
torch:rotation30_pad25_3,coverage_90,family,0.8369399309158325,52788,0.8999962112601348,0.9632627273411767,0.6557361064788253,0.8187844116433781,0.6053891583355393,0.9960849523248226,0.9062358679592668,0.9771989474476782,0.981015342831644,0.8656540043780165,0.9169624562903813,19,52770,47470
torch:wide_rotation_mixed_padding_5,zero,species,0.0,52788,1.0,0.7552353473768904,0.33652687002568266,0.7552353473768904,0.32157178232724193,0.753731908767144,0.9525401112314309,0.8715579516601252,0.883662054978781,0.8715579516601252,0.8628306472516105,308,44643,41807
torch:wide_rotation_mixed_padding_5,zero,genus,0.0,52788,1.0,0.8526658727375439,0.3940356914835521,0.8526658727375439,0.3957580012454397,0.8360043949382435,0.9550597834064932,0.8853243404403656,0.8667563365049132,0.8853243404403656,0.8585900247512551,242,52567,46080
torch:wide_rotation_mixed_padding_5,zero,family,0.0,52788,1.0,0.8682120684665646,0.34808262594697054,0.8682120684665646,0.3600973207633851,0.9631734485110253,0.9086734404521702,0.8984438787365493,0.8300148274621234,0.8984438787365493,0.8529197006514678,20,52783,52398
torch:wide_rotation_mixed_padding_5,optimized,species,0.7889324426651001,52788,0.8034212320982042,0.8703941893724045,0.7403659908254208,0.6565552978086161,0.57525880404229,0.8329914408997666,0.9525401112314309,0.9641487530176069,0.9614697038990926,0.7971390965681312,0.8576154488683261,272,42778,34859
torch:wide_rotation_mixed_padding_5,optimized,genus,0.810388594865799,52788,0.8446048344320679,0.9607022983572389,0.7909544340740902,0.7604445669279044,0.6825116641787987,0.9049456095099249,0.9550597834064932,0.975113981160547,0.9740507775184749,0.8280259319833198,0.8854528533073914,215,46868,39833
torch:wide_rotation_mixed_padding_5,optimized,family,0.9926556646823883,52788,0.7671629915889975,0.9945725610665762,0.8742831111794982,0.6934443095310503,0.6990191600388408,0.9993332839469591,0.9086734404521702,0.9937155970244568,0.9924777778677608,0.7483394678128908,0.8490963944391154,19,52770,40489
torch:wide_rotation_mixed_padding_5,coverage_70,species,0.9378145933151244,52788,0.6999886337804047,0.8981579179311403,0.8482357262407203,0.5783557942848305,0.5797706028761002,0.8516413628859841,0.9525401112314309,0.9779798176414025,0.9763347531347621,0.7251636762866198,0.8110997447784023,270,42705,31006
torch:wide_rotation_mixed_padding_5,coverage_70,genus,0.9829131960868835,52788,0.6999886337804047,0.9772508883665877,0.9332838510987757,0.6363193807367752,0.6865936749446687,0.9270385104597981,0.9550597834064932,0.9877629577875913,0.9879968037128767,0.7139534005861962,0.8109341992830557,210,46789,33950
torch:wide_rotation_mixed_padding_5,coverage_70,family,0.9976515173912048,52788,0.6999886337804047,0.9941883574173919,0.9104544472981865,0.649008190569088,0.6981880604454596,0.9995128683932776,0.9086734404521702,0.9932707296411906,0.9921529860608669,0.6945483764378839,0.8112123602352538,19,52770,36944
