model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
onnx,optimized,0.9698503911495209,4867,Bucculatricidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4870,Choreutidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,5320,Douglasiidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,5336,Pyralidae,365,262,0.9885496183206107,1.0,0.7095890410958904,1.0,0.8261562998405104,1.0
onnx,optimized,0.9698503911495209,5340,Sesiidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,5343,Tortricidae,632,458,0.9868995633187773,1.0,0.7151898734177216,1.0,0.8293577981651375,1.0
onnx,optimized,0.9698503911495209,5345,Ypsolophidae,46,27,1.0,1.0,0.5869565217391305,1.0,0.7397260273972603,1.0
onnx,optimized,0.9698503911495209,5474,Limacodidae,475,209,0.9952153110047847,1.0,0.4378947368421053,1.0,0.608187134502924,1.0
onnx,optimized,0.9698503911495209,5481,Pieridae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,5487,Gracillariidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,6166,Opostegidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,6946,Eriocraniidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,6950,Geometridae,15047,12205,0.9991806636624334,1.0,0.8104605569216455,1.0,0.8949801849405549,1.0
onnx,optimized,0.9698503911495209,6954,Epermeniidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,7014,Nepticulidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,7015,Noctuidae,9243,6347,0.9987395619977942,1.0,0.6858162934112301,1.0,0.8132135984605516,1.0
onnx,optimized,0.9698503911495209,7016,Notodontidae,3321,2626,0.9988575780654989,1.0,0.7898223426678711,1.0,0.8821254413990248,1.0
onnx,optimized,0.9698503911495209,7017,Nymphalidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,7294,Drepanidae,1604,1121,0.9982158786797503,1.0,0.6976309226932669,1.0,0.8212844036697247,1.0
onnx,optimized,0.9698503911495209,7297,Elachistidae,0,0,1.0,0.0,,0,1.0,0.0
